PipeFittingID;Standard;MaterialID;PipeFittingname;Model;Type;D1;D2;Series;THK1;THK2;PN;DN;THK;Weight
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 4;12.5;;;;;122
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 5;17.5;;;;;169
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 6;25;;;;;237
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 7;36;;;;;334
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 8;50;;;;;450
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 1;6.3;;;;;75.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 2;10;;;;;119
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 3;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 4;12.5;;;;;148
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 5;20;;;;;233
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 6;28;;;;;322
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 7;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;559;;Reihe 8;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 2;2.9;;;;;0.33
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 3;3.6;;;;;0.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 4;4;;;;;0.45
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 5;5.6;;;;;0.6
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 6;7.1;;;;;0.75
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 7;8.8;;;;;0.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;60.3;;Reihe 8;11;;;;;1.07
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 1;6.3;;;;;91.8
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 2;10;;;;;142
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 3;12.5;;;;;176
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 4;17.5;;;;;245
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 5;25;;;;;345
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 6;30;;;;;411
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 7;45;;;;;600
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;610;;Reihe 8;60;;;;;799
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 2;10;;;;;166
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;660;;Reihe 3;12.5;;;;;207
